Company Name	Ticker	Reporting Currency	Sector	DPS_FY1	DPS_FY2	DPS_FY3	EBITDA_FY1	EBITDA_FY2	EBITDA_FY3	EPS	Market_cap_million	Share Price	3yr TSR	EV/EBITDA	Sales_FY1	Sales_FY2	Sales_FY3	Net_Debt_FY1	Net_Debt_FY2	Net_Debt_FY3
Stradalos Nova Partners	STRAR	ESD	Consumer Staples	2.858628288	2.593140589	0.826555792	2956.265714	5524.870565	4426.634883	2.067195839	 25,683 	-5.211872305	0.087347557	10.49824966	76210.49902	103966.7394	129430.1225	4167.56362	4364.226997	6783.008316
Ardenhallora Crest AG	ARDEO	ESD	Industrials	5.995062449	4.099739096	3.390846069	6485.794847	6484.65302	3397.070498	8.239569743	 84,811 	89.25449007	2.725304367	21.84583195	19260.63608	32566.27442	12790.45221	283.0494387	1143.789575	1367.475527
Montarisova Atlas SA	MONTP	ESD	Information Technology	0	0	0	829.1149784	2698.94178	1491.320847	4.118463757	 19,630 	411.9375022	0.487004233	15.84573721	8825.009869	5186.05329	1101.375386	49.20110959	73.63251079	734.52065
Ardenoria Nova GmbH	ARDEW	ESD	Utilities	3.209833116	3.93648353	4.56090506	2788.125345	2324.37755	2616.856452	-0.279957575	 56,470 	89.1515768	-0.627049688	8.075001873	5848.214657	13620.93924	6156.178849	15853.9038	17660.13708	11181.38849
Montreia PLC	MONTO	ESD	Utilities	4.159990047	5.138342879	3.776431178	3391.065323	7990.249035	10862.07978	5.264330183	 91,837 	173.6377092	0.413764308	9.458279557	24331.45232	30040.18556	1430.371941	64966.77867	24131.60188	9895.649951
Loxhavea Crest Partners	LOXH	ESD	Utilities	0.79354175	0.792169433	0.548631295	4082.362936	4345.412264	2895.875587	2.752071551	 7,695 	18.19520433	-0.09052544	15.28991428	13310.39991	8972.133063	8764.35663	21011.52628	38215.77939	3606.541983
Velmontis Holdings	VELMF	ESD	Financials	2.144328658	1.652505306	1.193913394	#N/A	1972.722354	4239.190211	0.745533891	 53,924 	34.48178807	0.618571709	#N/A	17805.53875	23463.2926	24816.3974	-3198.654829	#N/A	#N/A
Hanriverhai Industries	HANRZ	ESD	Financials	1.938858391	0.820669874	1.332130081	#N/A	6616.305942	9878.626548	3.947775149	 25,689 	55.72162894	1.485385144	#N/A	23795.98678	29394.93742	13150.53462	31338.61229	#N/A	#N/A
Solentex Holdings	SOLEM	ESD	Financials	2.417464492	3.673575889	2.377649041	#N/A	1236.207091	813.4986498	18.13035305	 15,754 	188.9699163	0.543753683	9.089190892	12656.83759	17293.14812	8342.142285	#N/A	#N/A	856.3493228
Asterhent Crest SA	ASTED	ESD	Financials	0.625604496	3.07052338	1.915839781	3504.869584	2768.249706	3283.327422	16.49061429	 89,558 	319.3121822	1.054646254	26.37077663	8561.818522	12889.43026	7463.118828	1753.347431	9393.715304	5541.200655
Neoshan Systems	NEOS	ESD	Information Technology	0	0	0	1575.952943	1672.656228	1465.616371	10.48499594	 16,656 	97.75585319	1.661161279	6.136160386	5300.563574	3085.410305	2775.623906	888.2897386	896.9642528	-182.9835411
Ferrolynon Partners	FERRG	ESD	Materials	2.486206943	1.012870476	1.476935108	-40.88718903	6093.888717	4705.95985	-1.146067723	 33,434 	131.9530268	2.730204549	11.80282411	5838.606964	6352.68257	2548.648867	4765.841476	1972.851381	2951.120077
Shinryo Nova Industries	SHINO	ESD	Health Care	0	0	0	1032.906293	533.6018088	998.5594912	12.04196365	 19,675 	66.33295711	3.901465586	8.343732866	6316.364294	2735.737103	1900.472142	-1026.088385	-1330.592257	-2104.900246
Mekongka Capital	MEKOO	ESD	Industrials	2.108097154	2.010345939	1.257698225	669.7253005	839.8058549	537.4867055	4.123751437	 16,306 	192.8943688	0.521578059	14.23573632	1863.57224	2177.362406	4060.480478	2413.362641	1501.450658	1323.541091
Yamasung Vertex Industries	YAMAT	ESD	Financials	5.697671281	3.781479411	4.824263687	#N/A	503.170546	5311.352532	20.8936847	 92,997 	334.91231	-0.281219132	#N/A	19844.48697	41232.0013	55488.39391	8774.903101	#N/A	6284.782825
Easternmoto Group	EASTT	ESD	Information Technology	2.028971326	1.521329559	2.02757278	7869.989411	9969.089743	4836.272389	7.676828622	 232,065 	68.80891928	6.036236239	27.15771491	29768.61196	33298.80631	9844.821724	-3139.137036	-1119.254305	4287.57871
Shenzmoto Vertex Global	SHENV	ESD	Materials	1.17539936	2.762895163	2.31916106	2295.739703	1238.411227	2131.228934	5.88372403	 14,480 	67.7642704	1.147886458	7.888789205	19875.32846	24422.16947	18253.52153	5819.561887	7936.47115	7363.345822
Mekongtek Group	MEKOF	ESD	Information Technology	0	0	0	4316.882535	3127.956886	11503.64449	2.574870801	 475,366 	186.0714039	0.354110598	50.21477144	36601.96215	21132.93473	3284.508094	-2268.006403	-2414.265937	-3940.200517
Zhongzhou Capital	ZHONH	USD	Industrials	0.804147413	1.390839304	0.687567006	3174.472863	1897.49759	1764.00569	10.69271561	 52,987 	185.3985982	0.510229511	25.35903024	4545.640261	1554.651772	3782.768774	2680.112653	2837.15628	2535.735215
Mahinpon Prime Labs	MAHIP	ESD	Health Care	11.28439267	10.24923684	7.14023943	7636.301136	18811.96759	17968.91863	14.64739659	 356,879 	502.4616061	-1.008576724	20.43232143	7016.536809	12860.40699	30595.60289	69914.73778	15176.66999	26225.71621
Wenmoto Corp	WENMR	ESD	Financials	2.105954731	4.989033472	2.799875597	4997.978341	3020.077575	1807.79441	48.47832992	 17,971 	737.507164	0.987401075	#N/A	11088.14984	16182.65543	21621.19479	7597.661861	-942.2851182	4.630131776
Easternman Capital	EASTV	ESD	Real Estate	8.8451165	7.37046462	7.34097775	6037.41208	8874.471374	11881.02635	6.331820895	 117,515 	115.537323	-1.400747627	6.789495231	13263.75451	7574.670443	8809.93629	45165.39634	29732.9115	80342.48722
Shenzhou Capital	SHENO	ESD	Consumer Discretionary	0	0	0	169428.3306	80949.63689	108321.2888	9.703296686	 2,196,783 	252.3966804	0.477944421	13.85763195	410765.9783	618018.7974	617183.2795	32804.11733	28029.12715	-8748.061231
Helvon AG	HELVU	ESD	Information Technology	0	0	0	2814.326465	2706.501582	246.6761794	4.160910151	 102,034 	239.899308	5.417284173	32.4134625	5214.597382	6034.903851	1981.446	-2935.342632	-1397.586057	-4053.95119
TaeyangCore Co	TAEY	ESD	Financials	2.210085994	1.077526145	1.844676581	2659.724102	3542.026242	5402.625767	24.09310241	 100,236 	342.0341277	0.038103953	17.62860885	15269.99764	8774.155458	16067.34722	12292.94067	9892.504911	13035.50756
Gangeriver Labs	GANGB	ESD	Industrials	2.215010039	1.809234269	1.096019495	818.3787534	1360.625268	1034.658292	4.054898754	 15,053 	52.65756571	1.778743406	8.537533458	3084.724934	3530.791223	2533.293599	-208.8391089	-24.72790911	-234.6956508
Silveroakix AG	SILVB	ESD	Energy	1.231147724	0.40317078	1.014702403	5727.707065	6476.1345	11812.93215	3.43902521	 16,048 	17.80338457	0.202790134	4.296690607	6311.277803	9097.647266	9223.793154	4776.929759	4227.59675	6795.107719
Hanseitek Technologies	HANSP	ESD	Materials	11.73387791	10.48793287	7.132652819	5772.998712	2553.124091	6906.211791	17.54403969	 82,951 	107.195879	1.45643234	22.83625537	13548.15408	2257.401912	11710.99496	11498.93189	8724.21859	3518.678325
Sundarvar Axis Systems	SUNDU	ESD	Information Technology	0.782431331	0.348403537	0.626962192	6445.033994	244.9352422	3110.090616	4.30530633	 138,662 	250.0808269	1.226995618	17.97017744	7609.436537	16378.64055	10788.94482	3602.314548	2488.494659	2979.275376
Baolyang Group	BAOLL	ESD	Financials	2.522597526	1.769714246	1.732824519	6698.288616	5945.783908	1375.406865	11.89530694	 105,305 	195.859023	2.450916575	18.70022826	2535.414756	2451.725892	1740.717146	-2338.774077	3732.377873	-207.2140839
Nordhelmia AG	NORDL	ESD	Information Technology	0	0	0	1542.880152	1604.14973	884.4574804	8.145261661	 136,440 	472.730279	15.29094546	39.63258118	1691.284211	3043.312219	1331.745402	2458.136527	2469.770367	1204.182894
Ardena SA	ARDE	ESD	Consumer Discretionary	0	0.012401873	0.048584312	4501.86514	4306.256152	2844.111508	7.115903345	 14,050 	45.70408028	2.836885684	7.1710074	26912.85827	348.6543807	15377.99768	3746.959843	3261.817054	1052.580259
Montarisia AG	MONTG	ESD	Industrials	4.669170258	1.29731579	3.932225319	1163.125912	1658.508663	228.3577683	5.926248784	 65,924 	249.1784007	2.261406848	21.60388466	3120.892355	1135.043374	2387.471534	4872.676326	2200.026575	613.6075548
Hanto Group	HANT	ESD	Real Estate	6.593829217	5.032704559	4.244531053	1963.389215	926.6534612	1825.87037	-1.722386746	 11,693 	19.84984536	1.726705257	1.220510624	5240.394089	2143.97621	2335.150534	7742.074058	7452.641293	9648.929184
Suryazhong Co	SURYN	ESD	Utilities	3.801436503	2.258543889	3.727145712	2416.375681	1086.443305	1536.731537	1.302529229	 34,336 	174.6479643	0.533583998	8.433055496	2258.894047	4518.793217	3179.493968	9937.148379	7142.307358	9751.248802
Altamirara AG	ALTAL	ESD	Health Care	1.214535014	0.86137042	0.952678901	2156.038406	2389.885629	1705.960006	4.347814904	 75,663 	65.89881753	2.308371894	26.1698477	7004.070214	7350.808142	8922.940369	1178.501242	855.9854913	1181.383134
Minatosei Holdings	MINAE	ESD	Real Estate	4.326269655	3.105936175	5.434519495	1306.904917	1882.499827	767.118637	7.935379131	 19,876 	207.3165492	0.001869187	14.29879773	2093.357512	1682.467689	2422.074676	8542.912382	10147.90973	6686.03521
Hualzhou Labs	HUALH	ESD	Financials	2.747134707	2.454035764	2.976539962	42959.56309	24929.5111	5447.245504	9.995522537	 1,272,183 	245.978423	3.077607443	42.40398494	33066.27856	39187.91196	53918.91962	60117.00881	24039.9753	61161.30051
Takadus Silk Technologies	TAKA	ESD	Materials	1.90675588	3.372412908	4.032371999	1460.82573	1442.484274	1026.23883	10.67789311	 10,985 	166.6906806	0.592271213	19.94268829	26.00085144	9194.774304	13004.99246	3824.731104	2336.936879	2356.479284
Daezuna Global	DAEZS	ESD	Utilities	1.311414005	3.280451669	4.094677414	2389.486813	2915.545699	2592.892919	5.96585167	 4,492 	155.7936704	-0.373566887	16.74486378	4220.710948	4539.305702	4195.156578	9834.883928	15188.68497	4755.597325
Ryujdao Jade Global	RYUJZ	ESD	Industrials	0	0	#N/A	179.766413	117.8651922	451.5007283	7.932755132	 44,219 	438.431525	2.872922146	71.46796625	1529.299179	1580.576252	1076.67374	-564.5383725	-410.4014134	-297.7784786
Arjunges Corp	ARJUK	GBP	Financials	2.546536723	2.410561851	2.742354629	25856.85215	#N/A	#N/A	11.94316825	 354,876 	505.8988648	2.043653705	#N/A	60061.3582	53470.16517	40207.83344	#N/A	#N/A	#N/A
NanjEast Co	NANJ	ESD	Consumer Discretionary	0	0	0	3402.806118	5021.0482	6306.947427	58.63539801	-13,180 	4213.261523	-0.390360973	19.12921499	6956.788934	9436.33661	18703.52113	11554.44179	11918.03518	5980.115672
Hualsei Group	HUALQ	ESD	Financials	0.933669729	0.409913492	0.469758074	#N/A	#N/A	#N/A	6.023113109	 72,998 	67.15646896	1.199524912	#N/A	75076.53712	72663.90911	139310.2219	#N/A	#N/A	#N/A
Taishpon Corp	TAISF	ESD	Materials	0.478536581	0.840386353	1.025078828	1804.288898	1803.594495	1090.390781	2.997208104	 11,741 	46.48904221	1.679972411	10.67992917	14333.98751	9873.638728	4896.150924	10754.81331	13361.04455	7964.856042
Bellatrix Solutions	BELLU	ESD	Industrials	0	0	0	-15092.47652	1283.667479	-2702.555075	-4.0501575	 133,488 	434.4122237	1.695749188	#N/A	73709.98976	97304.52339	82757.78314	69756.79742	26230.5464	56138.53273
Norvatek	NORV	ESD	Health Care	1.242792243	0.536262974	1.626360217	-35.63079302	3237.321814	5869.546112	3.618853792	 9,265 	23.28369379	3.117106524	14.82724942	10503.08054	7911.708184	15100.55321	#N/A	#N/A	#N/A
Luminexex Ltd	LUMIE	ESD	Consumer Discretionary	6.128712556	4.023554395	3.739362982	2441.946076	2727.922185	3785.3813	6.653672262	 10,577 	64.1234856	2.075872509	6.115707846	40068.89559	93607.62066	17432.53735	1422.170757	323.7065504	-640.4544346
Veltrea SA	VELTN	ESD	Health Care	-0.474903772	3.719955009	3.106762195	3505.951901	8090.38357	1774.651755	18.97645063	 65,893 	109.1890927	-0.803398039	15.80007817	30548.89217	19928.93234	7897.827445	14142.62346	8089.563364	8531.718369
Ferroara Group	FERRJ	ESD	Financials	0.692126778	1.11179061	1.129484644	2207.874824	2099.058473	1478.787828	0.905430411	 15,465 	12.24193177	1.205173882	Nan	6417.710379	6192.784686	3122.432271	-874.7901126	-1435.473271	-287.7374875
Shikosung Industries	SHIKI	ESD	Consumer Staples	1.090457569	0.747139532	0.719860821	1586.613866	1429.026516	712.1792698	0.999499543	 19,008 	1.264750807	0.422180675	15.89750659	2162.196799	5410.723615	4027.648184	1392.490936	1802.139283	1283.650988
Crestalora Vertex Ltd	CRESS	ESD	Consumer Staples	2.599733543	1.673497447	1.7836807	2167.136698	4084.053358	4073.45944	5.457998288	 6,042 	184.1577265	-0.837508502	7.714640053	39448.39394	35394.14787	55415.85653	311.2625218	2702.500343	4939.36749
Rheinor Industries	RHEIL	ESD	Health Care	0	0	0	2579.545637	3335.276828	4352.001464	17.77201893	 24,659 	87.31519102	1.28353906	7.496525421	12501.91148	18368.94917	16911.95885	6539.899604	566.2881155	3879.059859
Baoshsung Global	BAOSM	ESD	Consumer Discretionary	33.52200822	0	0	8540.397351	10237.7007	8490.667946	177.9319497	 213,723 	3851.528774	3.090972305	23.04965643	17344.71914	14970.87357	7850.016279	1079.068315	125.1563373	-577.1816797
Norlindeus Ltd	NORLY	ESD	Energy	0.875141084	0.824537047	0.674980393	7740.746934	1808.763206	3791.711506	3.113129917	 79,796 	59.24972359	-0.319889223	8.792203145	19922.92272	22910.98274	17290.43436	4899.25597	3171.247453	4574.634461
Aurala Bridge Group	AURA	ESD	Financials	2.863298612	3.088132728	0.73880056	#N/A	#N/A	#N/A	9.420667731	 116,918 	50.2305149	0.32770882	#N/A	2820.108799	17074.97292	7188.813893	#N/A	#N/A	#N/A
Nipponrim Corp	NIPPE	ESD	Industrials	0	0	0	2874.040855	2665.076384	1535.445055	3.49719996	 13,297 	119.4802223	1.25604829	5.336895953	20774.08634	30938.89276	10877.85452	3285.747583	2387.290963	2790.334475
Hanseirita Labs	HANSC	ESD	Financials	16.31901395	17.08479297	3.75640586	#N/A	7754.609882	8059.612297	46.40531685	 127,609 	1723.618269	0.951834443	17.572775	15614.95001	11026.5676	7024.91702	-1397.48328	-2900.237415	-1246.75576
Sundarjin Labs	SUND	ESD	Health Care	1.075374242	2.462738821	3.76830654	19347.87458	7005.868976	13684.43326	6.504294945	 109,421 	53.96289494	-1.228406629	5.908257458	39858.43939	40241.16237	60295.41027	32017.9282	39804.88175	46841.90202
Daetek Holdings	DAET	ESD	Financials	0	0	0	80793.34095	#N/A	#N/A	5.333351762	 880,154 	524.7232003	0.271575198	#N/A	538215.4308	82668.21854	22008.15836	#N/A	#N/A	-57739.74715
Rivento Group	RIVEA	ESD	Financials	0.802632799	0.230291244	0.373314004	899.3824705	1973.097862	1122.243071	4.774274109	 34,170 	66.6575495	0.331593913	13.26702117	5875.791099	4580.795255	3232.64986	2576.852576	3970.518693	1455.863117
GangeEast Labs	GANG	ESD	Industrials	4.674193151	4.017019969	2.581349347	1331.767288	2123.633688	1770.498913	4.513954454	 22,798 	283.9343023	2.860486333	6.873029918	8968.061923	6549.157639	5588.099008	1904.826813	3817.017575	5156.149365
Shinzuna Co	SHINT	ESD	Health Care	0	0	0	3523.976569	5800.225741	2903.067108	1.599452719	 80,300 	101.0263177	0.222706975	14.95014514	13768.00798		4534.805704	1704.166044	4499.416493	8018.294085
Danvikora AG	DANVJ	ESD	Real Estate	6.287203562	2.861797629	5.274907078	1082.531336	1111.338221	1663.185889	0.584889363	 8,577 	16.4043495	-0.034130678	24.66765893	770.7858287	4534.153782	2574.787388	6055.387105	14815.16473	17163.27934
Sapphdao Capital	SAPPZ	ESD	Financials	2.98824603	1.798366149	6.978767498	8691.753255	3614.525873	9296.495425	4.459482513	 138,404 	198.3739103	3.087488754	30.33192798	8113.070746	8520.388883	14324.77956	4473.32778	8985.828846	5804.033436
Mekongdra Group	MEKOW	ESD	Consumer Staples	0.892918909	0.244574821	0.770910659	2836.578768	2364.748925	2647.285297	2.173827169	 8,394 	18.01497643	-1.717812321	12.32130115	11191.81439	7105.888384	12019.93109	8568.178366	3699.929863	10011.59103
Yamamoto Systems	YAMAY	ESD	Health Care	1.633928287	2.606391881	2.933819855	3926.853628	3364.977618	986.0872567	15.22733766	 66,298 	254.4716204	-0.778729604	12.63115257	421116.5208	187078.6814	91809.84873	-45.64429917	370.5993256	630.6934267
IndoTokyo Axis Group	INDO	ESD	Industrials	0.057269763	0.666801276	0.745233231	7018.641877	5479.713678	4072.235861	1.78511061	 33,890 	87.59790847	1.620504034	14.59946325	29266.47315	26051.48526	28562.43164	2429.008223	7960.933823	13904.3948
Takahai Global	TAKAU	ESD	Industrials	4.452702085	4.820948811	7.287200248	12414.66438	11584.7765	6907.684963	9.17841291	 584,159 	854.0183846	0.256372315	31.69210629	32876.24187	56629.42391	49351.48792	3704.26427	2914.973765	1207.593756
Hansei Lotus Co	HANS	ESD	Financials	2.280188964	2.348683613	2.989238799	1015.258521	448.7409891	1079.215513	3.618621523	 30,516 	89.09620472	0.208488327	13.39748135	1516.394048	2169.170392	1901.437468	84.78768045	364.9500738	251.6828197
Stradalea Group	STRAP	ESD	Real Estate	0	0	0	2591.974129	544.4007121	2925.916206	8.181526808	 43,198 	134.8927029	1.300545042	23.83295202	19938.85042	42674.72265	45686.95165	2158.065981	747.6326093	76.81742505
Kizunasung Industries	KIZUF	ESD	Financials	4.023421868	2.946508284	2.734761373	#N/A	11590.42844	8397.211561	36.04193755	 119,408 	280.6509561	1.610060594	#N/A	52821.64814	22655.00994	60072.72182	7037.13705	-6495.130759	742.5013435
Valdorea Industries	VALDB	ESD	Real Estate	8.671290595	4.353838416	11.09893317	1983.991641	5145.811737	3834.537318	0.851061578	 55,210 	51.52684071	-1.500845441	22.9886258	10717.4493	6828.731412	5485.482695	30500.8898	28731.73971	8127.914481
Amrito Silk Capital	AMRIB	ESD	Consumer Discretionary	0	0	0	9342.477015	6634.875128	4383.54499	2.184080964	 45,590 	19.78386	2.626598363	5.474206386	14871.04019	26022.03482	14015.69498	2375.263668	21643.46736	43739.71818
Montarisara Partners	MONT	ESD	Information Technology	0	0	0	1984.546744	2759.782038	555.4703695	4.375306114	 120,721 	511.7560545	0.983641581	32.38757952	2691.755598	2072.653035	6078.946996	-571.2118475	-121.4227404	-449.0508605
Ardenvale Holdings	ARDEF	ESD	Information Technology	1.796010946	2.139468958	2.16497604	881.521835	1902.387975	-76.24879284	12.59826932	 13,123 	76.77220531	0.648417919	5.971014789	13259.83831	14032.1805	5188.986787	5962.626411	7569.599686	7138.200712
Montreova SA	MONTX	ESD	Utilities	2.175587106	1.10267683	0.37679644	5110.808198	3421.245235	2425.777024	9.237136622	 84,810 	175.8097923	1.964367172	27.15479467	18574.2684	31433.50248	12924.57795	11200.95177	8154.255203	1775.078531
Loxben Partners	LOXBH	ESD	Financials	1.858823092	1.633715177	1.921605858	#N/A	#N/A	#N/A	3.974945912	 27,826 	8.307394131	4.270842468	#N/A	9613.186134	2291.107283	6604.775997	#N/A	#N/A	#N/A
Vedantasung Holdings	VEDAA	ESD	Materials	2.407366287	1.235855924	2.280746807	3240.226544	3103.993283	3036.68371	13.01672491	 19,801 	107.2622754	-1.177670779	10.89497628	6317.958487	10220.74154	9282.994588	1268.786471	512.9852406	2559.802573
Eastbridgeia Nova Group	EASTC	ESD	Consumer Staples	1.717154616	0.726354902	0.428449948	2482.412515	2437.170081	1709.114573	2.752187851	 19,450 	130.1509238	0.342814839	13.6561455	8309.630992	5060.01531	6736.71004	1935.270784	1535.844931	1860.764718
SeorEast Technologies	SEORC	ESD	Industrials	1.944755638	3.189924079	3.438186522	1124.870794	795.2463688	1813.208969	-0.286519052	 23,980 	229.7566539	4.296214736	26.084132	14449.19503	20385.25636	25382.74954	2354.187949	2006.62917	806.4786456
Gangerong Technologies	GANGC	ESD	Communication Services	0	0	0.138206611	30638.22644	19932.00446	7409.82734	24.51881591	 42,489 	118.0834582	-0.038774137	2.607037641	51328.38358	61775.10652	23966.95928	89832.40823	134329.7869	69980.85062
Silveroakix Partners	SILVG	ESD	Financials	1.643457658	3.693919539	2.144337382	#N/A	Nan	#N/A	5.542803186	 29,507 	120.3762415	3.136829553	#N/A	11490.23964	3471.154786	7286.509567	#N/A	#N/A	#N/A
Baoshpon Prime Industries	BAOSL	GBP	Health Care	6.561949912	2.22986466	3.297096813	#N/A	15985.53849	10470.63499	16.46572531	 51,024 	179.9933206	-0.078579868	7.15734231	257681.7242	234925.6172	309322.6897	27080.45653	24751.27708	25035.42425
Norlinden Partners	NORL	ESD	Consumer Staples	3.291359281	2.402213048	2.764232142	6374.16454	7234.314081	708.9461174	5.135697996	 71,641 	54.17275599	0.057495803	13.60163455	19687.6484	27332.2886	16135.69535	8244.826563	10193.82083	6675.745081
Ferrolynex Nova Partners	FERRE	ESD	Consumer Staples	3.200719115	4.372165076	8.388361773	1844.617551	44.13193538	776.5711296	4.263927697	 6,391 	114.3075119	0.269794227	14.68718485	3798.267686	6439.149933	5969.177083	3353.561555	2290.561644	2210.203588
Shinlong Group	SHINN	ESD	Communication Services	2.004898756	1.31646618	2.426230932	27397.29847	36449.69552	55306.54908	3.677003616	 144,374 	39.59004235	1.780564526	1.968876206	109949.0103	123510.7979	113950.1687	65344.95481	114489.0036	109551.6914
Loxben SA	LOXBW	ESD	Financials	13.2997037	4.625708493	8.376073637	1046.509501	1936.253597	3609.926659	14.1353534	 96,904 	298.6580331	-0.408701866	11.5678934	6029.262335	4802.871585	6531.923222	545.218781	115.4208679	425.1911481
Vedantasung Labs	VEDAH	ESD	Consumer Discretionary	0	0	0	1676.565255	1899.271416	2059.254859	1.217829411	 49,266 	52.46112128	3.092018641	22.70147973	10583.83891	12076.45523	13538.2028	-507.8894004	-533.2665351	-71.83988966
Bellatex SA	BELLY	ESD	Industrials	6.221883307	6.556134097	2.857042787	4311.034142	2455.705452	2555.348912	12.79927705	 28,040 	700.8655555	1.868497627	0.18145522	39696.5554	17320.77211	14775.19527	3013.418394	8923.907237	1691.161982
Norlindos Partners	NORLI	ESD	Utilities	3.012375907	1.3241963	1.085637797	2641.780221	2119.412088	2148.276231	3.028084178	 23,788 	64.02849604	-0.219368722	13.738438	9845.8345	13309.1107	7756.189246	35049.94902	23545.4957	7295.691615
Euronora Crest AG	EUROL	ESD	Health Care	0	0	0	#N/A	6680.973027	1413.637358	1.933403507	 50,601 	59.99978654	-0.652555563	18.69585918	213297.6208	153841.6817	154579.9712	1231.45441	10855.57331	3937.576588
Shikoka Silk Holdings	SHIKG	ESD	Utilities	0.864813587	0.485476396	1.048257038	3111.814644	3911.696176	2639.376877	1.64188622	 35,177 	55.94225614	-0.317938875	2.257182658	12088.78901	9490.372581	7968.297921	28141.84371	13250.69436	26170.52413
Bravonea Prime Industries	BRAVT	ESD	Financials	2.111268925	2.372715746	1.696122361	#N/A	#N/A	#N/A	18.0620108	 101,055 	318.7728683	3.635512183	#N/A	50201.03188	42287.18956	49216.81011	#N/A	#N/A	#N/A
Oxenara Partners	OXENX	ESD	Financials	0	0	0	2761.113624	1306.294561	-317.0573995	9.376267275	 34,970 	288.7868078	1.446033258	19.89498437	5214.49752	225.9102373	6523.006313	-850.2457887	-854.1994436	-3773.032252
Hualdus Vertex Capital	HUALI	ESD	Health Care	0	0.011119711	0.010990757	212.7015372	1052.744832	190.5502263	5.36608303	 12,096 	86.18778046	0.378799246	Nan	4088.916027	3013.723419	3704.221245	1104.312071	1754.109382	3258.577505
Taeyangzhou Systems	TAEYG	ESD	Energy	1.295651945	1.889437484	2.187361761	27389.21522	31786.16868	37895.03395	5.001810017	 180,007 	50.62751674	-0.850201229	5.535339449	50037.16602	72803.71326	75185.47071	9233.979403	3582.57397	11804.90259
Arjunhiro Vertex Co	ARJUX	ESD	Health Care	2.273405594	2.121855547	1.898459318	2638.351062	2556.902643	5204.344079	33.00206579	 88,073 	387.2368656	-0.449284513	18.0697214	236549.3394	195755.534	401642.2076	624.8423889	2587.232394	3168.790909
Nanjfield Industries	NANJV	ESD	Consumer Staples	2.7232848	20.62766772	1.900574545	6900.794952	11729.44168	7126.423827	20.41701504	 512,398 	1347.309033	5.122387914	34.8685341	368053.7854	215855.2549	90944.16615	-1207.459412	-6326.829341	-3077.693106
Altamirora Nova Group	ALTAX	ESD	Financials	0	0	0	1097.454137	2879.694482	791.3501463	25.87767852	 37,790 	92.12600197	0.818801128	19.05918904	3811.349934	2070.016197	1413.62602	3032.258662	1467.618359	3202.086713
